twitter,domain,name,type
nikefutebol,nikefutebol.com.br,Nike Futebol,brand
Lifeisgood,lifeisgood.com,Life is Good,brand
Avea,avea.com.tr,Avea,brand
VisaMX,visa.com.mx,Visa Mexico,brand
benandjerrys,benjerry.com,"Ben & Jerry's",brand
BancoMundial,bancomundial.org,Banco Mundial,brand
OfficialWarid,waridtel.com,Official Warid,brand
GYMmotivational,AnabolicDigest.com,GYMmotivational ™,brand
DespegarMx,despegar.com.mx,Despegar.com México,brand
KenyaAirways,kenya-airways.com,Kenya  Airways,brand
Quiksilver,quik.to,Quiksilver,brand
NRGHomeSolar,nrghomesolar.com,NRG Home Solar ,brand
Moschino,moschino.com,Moschino,brand
adaymagazine,daypoets.com,a day magazine,brand
maksindo,tokomesin.com,Ayo Bisnis,brand
Titleist,titleist.com,Titleist,brand
BcodeVenezuela,bancodevenezuela.com,Banco de Venezuela,brand
ANA_travel_info,ana.ms,ANA旅のつぶやき【公式】,brand
REI,REI.com,REI,brand
revlon,revlon.com,Revlon,brand
Activision,blog.activision.com,Activision,brand
NetflixLAT,netflix.com,Netflix LATAM,brand
Qualcomm,qualcomm.com,Qualcomm,brand
olivegarden,olivegarden.com,Olive Garden,brand
WOOLWORTHS_SA,woolworths.co.za,Woolworths SA,brand
MasterCardCol,mastercard.com,MasterCard Colombia,brand
samsungmobilemx,thenextgalaxy.mx,Samsung Mobile MX,brand
JobsDBIndonesia,id.jobsdb.com,jobsDB indonesia,brand
marshalls,marshallsonline.com,Marshalls,brand
HarveyNichols,harveynichols.com,Harvey Nichols,brand
Gartner_inc,gartner.com,Gartner,brand
GOTLUCKIE_COM,gotluckie.com,GOTLUCKIE.COM 300k,brand
MovistarCo,movistar.co,Movistar Colombia,brand
NewLookFashion,newlook.com,New Look Fashion,brand
2K_UK,2k.com,2K United Kingdom,brand
Hublot,hublot.com,Hublot - Official,brand
6awrr,,طور ذاتك,brand
WeightWatchers,WeightWatchers.com,Weight Watchers,brand
mediamarkt_tr,mediamarkt.com.tr,Media Markt Türkiye,brand
Social_Tabloid,strongsocial.ca,The Social Tabloid,brand
NamshiDotCom,namshi.com,NAMSHI,brand
hepsiburada,hepsiburada.com,Hepsiburada,brand
CVS_Extra,cvs.com,CVS/pharmacy,brand
MaltaDoctor,MaltaDoctor.com,Malta Doctor,brand
pullandbear,WWW.PULLANDBEAR.COM,Pull&Bear,brand
NI_News,native-instruments.com,Native Instruments,brand
HYPEBEAST,hypebeast.com,HYPEBEAST,brand
NARSissist,narscosmetics.com,NARSissist,brand
InStephsWordz,prettypaperchasers.com,Stephanie J,brand
Clinique,clinique.com,Clinique,brand
Fendi,fendi.com,Fendi,brand
Chilis,chilis.com,"Chili's Grill & Bar",brand
nodejs,nodejs.org,Node.js,brand
Accenture,accenture.com,Accenture,brand
7ElevenID,7elevenid.com,7Eleven Indonesia,brand
CocaColaAr,coca-cola.com.ar,Coca-Cola Argentina,brand
TataCompanies,tata.com,Tata Group,brand
KITKAT,kitkat.com,KITKAT,brand
adidasMX,adidas.mx,adidas México,brand
TheSexology,guiltyashell.co,Sexology,brand
humphryslocombe,humphryslocombe.com,humphryslocombe,brand
NikeFuel,nike.com,NikeFuel,brand
SEAT_Mexico,seat.mx,SEAT México,brand
AudideMexico,audi.com.mx,Audi de México,brand
muchoviaje,muchoviaje.com,muchoviaje,brand
Citibank,citi.com,Citibank,brand
mos_burger,mos.jp,モスバーガー,brand
PDVSA,pdvsa.com,PDVSA,brand
EE,ee.co.uk,EE,brand
easylifebox,easylifebox.com,EasyLife,brand
Kira_Plastinina,kiraplastininastyle.ru,Kira Plastinina,brand
magicondabeat,magicondabeat.com,#NEED #BEATS?,brand
joypoodle,thewhitemagic.web.fc2.com,天然石ザ・ホワイトマジック,brand
LookVoyages,look-voyages.fr,Look Voyages,brand
Melody_Mariland,sanrio.co.jp,マイメロディ【公式】,brand
Lennar,lennar.com,Lennar,brand
bathbodyworks,bathandbodyworks.com,Bath & Body Works,brand
SamsungMobiAfr,samsung.com,SamsungAfrica,brand
amazonbooks,amazon.com,Amazon Books,brand
Xbox_Spain,xbox.es,Xbox España,brand
ThisIsGMC,gmc.com,GMC,brand
BananaRepublic,bananarepublic.com,Banana Republic,brand
LowonganKerjaID,lowongankerjapns.com,Lowongan Kerja,brand
Nikecourt,nike.com,NikeCourt,brand
Wipro,wipro.com,Wipro,brand
TOPBRASSVODKA,topbrassvodka.com,TOP BRASS VODKA,brand
Tweet_Delete,tweetdelete.net,TweetDelete,brand
YamahaIndonesia,yamaha-motor.co.id,Yamaha Indonesia,brand
Centralnews,central.co.th,Central Thailand,brand
Microsoftarab,microsoft.com,Microsoft Arab World,brand
saadeddinpastry,saadeddin.com,حلويات سعد الدين,brand
DECSANDLONDON,decsandlondon.com,Do It Like Its Legal,brand
salesforce,salesforce.com,Salesforce,brand
xboxuk,youtube.com,Xbox UK,brand
houseoffraser,houseoffraser.co.uk,House of Fraser,brand
OPI_PRODUCTS,opi.com,OPI,brand
BMWi,bmw-i.com,BMW i,brand
BassProShops,oak.ctx.ly,Bass Pro Shops,brand
AmazonVideo,amazon.com,Amazon Video,brand
SAMSUNG_VE,samsung.com,Samsung Venezuela,brand
windowscentral,windowscentral.com,Windows Central,brand
BCPComunica,,Banco de Crédito BCP,brand
CadburyUK,cadbury.co.uk,Cadbury UK,brand
Boeing,boeing.com,The Boeing Company,brand
TimeOutEatDrink,timeout.com,Time Out Food,brand
AviancaBrasil,avianca.com.br,Avianca Brasil,brand
ibaraki_ramen,ibanavi.net,いばナビ拉麺部部長,brand
UniBul,viralspell.com,UniBul,brand
bet365,bet365.com,bet365,brand
suntory,suntory.co.jp,SUNTORY（サントリー）,brand
SamsungMobileIN,samsung.com,Samsung Mobile India,brand
pikiran_rakyat,pikiran-rakyat.com,Pikiran Rakyat,brand
OPPOIndonesia,oppo.com,OPPO Indonesia,brand
MinniesBoutique,minnies-boutique.co.uk,Minnies Boutique,brand
Herbalife,herbalife.com,Herbalife,brand
Deloitte,deloitte.com,Deloitte,brand
BoeingAirplanes,boeing.com,Boeing Airplanes,brand
SkyBet,sky.me,Sky Bet,brand
PlNKSECRET,," Victoria's Secret",brand
clarochile_cl,clarochile.cl,Claro Chile,brand
ASUS_Indonesia,id.asus.com,ASUS Indonesia,brand
adidassoccer,adidas.com,adidas Soccer,brand
StarbucksMY,starbucks.com,Starbucks Malaysia,brand
patagonia,patagonia.com,Patagonia,brand
OudElite,oudelite.com,نخبة العود,brand
shopathome,ShopAtHome.com,ShopAtHome.com,brand
tapbots,tapbots.com,Tapbots,brand
Galaxkey,galaxkey.com,Galaxkey,brand
WRPdiet,wrp-diet.com,WRP Diet,brand
Kartu_As,telkomsel.com,Kartu_As,brand
Moda_Suburbia,suburbia.com.mx,Suburbia,brand
clubln,club.lanacion.com.ar,Club LA NACION,brand
ideo,ideo.com,IDEO,brand
